#channel,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,rate_per_channel,gain_constant,normalized_rate
1,1591.907758,37.144946,3274.000000,111212.000000,1.153768,20006332.184982,0.768468,16,0.000000
2,45.279943,36.243369,2104.000000,19479.000000,0.034471,19046936.144059,0.493848,13,0.000000
3,47.702238,31.967902,1921.000000,6549.000000,0.046678,14818227.675916,0.450894,18,0.000000
4,47.597772,33.505611,1795.000000,2545.000000,0.042399,16278076.362536,0.421320,15,0.000000
5,45.170333,31.337460,1773.000000,1064.000000,0.045997,14239527.982404,0.416156,17,0.000000
6,47.756506,33.545058,1614.000000,436.000000,0.042440,16316428.715630,0.378836,19,0.000000
7,49.744130,30.506774,1235.000000,206.000000,0.053450,13494617.491190,0.289877,10,0.000000
8,48.506656,29.859409,1277.000000,91.000000,0.054405,12927972.830556,0.299736,10,0.000000
9,47.188865,34.619832,3251.000000,62.000000,0.039372,17378725.172322,0.763070,11,0.000000
10,48.423540,35.046411,3237.000000,38.000000,0.039425,17809638.779829,0.759784,20,0.000000
11,48.881795,38.675131,3587.000000,28.000000,0.032680,21688603.924714,0.841935,17,0.000000
12,47.068546,35.433313,2874.000000,16.000000,0.037489,18205035.038117,0.674581,16,0.000000
13,50.429539,33.419018,2363.000000,10.000000,0.045154,16194045.604680,0.554640,13,0.000000
14,52.703206,36.362145,1934.000000,7.000000,0.039860,19171981.272906,0.453946,14,0.000000
15,48.655738,29.765866,1708.000000,5.000000,0.054916,12847098.255077,0.400899,15,0.000000
16,54.742566,35.231206,1177.000000,6.000000,0.044103,17997949.416348,0.276264,16,0.000000
17,52.351017,39.914502,3148.000000,1.000000,0.032860,23100927.998041,0.738894,17,0.000000
18,52.792215,42.731538,3494.000000,3.000000,0.028912,26476772.366825,0.820107,18,0.000000
19,59.122407,44.341746,2892.000000,2.000000,0.030070,28509760.956681,0.678806,19,0.000000
20,55.466976,38.311420,1938.000000,1.000000,0.037790,21282591.126921,0.454885,20,0.000000
21,58.710826,41.742659,2106.000000,3.000000,0.033694,25265519.444850,0.494317,11,0.000000
22,53.738438,34.437723,1946.000000,1.000000,0.045312,17196373.093699,0.456762,12,0.000000
23,52.087459,28.540931,1212.000000,0.000000,0.063944,11811479.023026,0.284479,13,0.000000
24,54.384010,27.366032,763.000000,1.000000,0.072619,10859045.912785,0.179090,14,0.000000
25,55.525962,43.081819,2677.000000,1.000000,0.029916,26912625.312625,0.628341,15,0.000000
26,59.818895,51.074059,3059.000000,1.000000,0.022932,37824113.495929,0.718004,16,0.000000
27,57.973638,43.152957,2276.000000,1.000000,0.031132,27001576.478483,0.534219,17,0.000000
28,55.400732,41.102270,2186.000000,0.000000,0.032793,24496250.641820,0.513095,12,0.000000
29,64.239786,40.127778,1493.000000,1.000000,0.039895,23348458.990359,0.350435,14,0.000000
30,62.206207,40.940506,1450.000000,0.000000,0.037113,24303813.441379,0.340342,16,0.000000
31,57.600198,31.600242,1008.000000,0.000000,0.057682,14479341.527207,0.236596,11,0.000000
32,58.889474,28.887988,570.000000,0.000000,0.070567,12100479.884580,0.133790,12,0.000000
33,66.529161,48.670906,2349.000000,0.000000,0.028085,34348427.484246,0.551354,14,0.000000
34,72.347919,55.333468,2331.000000,0.000000,0.023629,44395994.484096,0.547129,16,0.000000
35,67.552743,50.680475,2370.000000,0.000000,0.026300,37243402.385658,0.556283,15,0.000000
36,61.008577,44.271550,1982.000000,0.000000,0.031127,28419567.298548,0.465212,16,0.000000
37,63.126098,41.924154,1594.000000,0.000000,0.035915,25485702.627206,0.374141,12,0.000000
38,66.851689,42.473539,1362.000000,1.000000,0.037057,26158021.729943,0.319687,14,0.000000
39,65.359477,38.550442,918.000000,0.000000,0.043979,21548980.285360,0.215472,11,0.000000
40,57.152778,27.683240,792.000000,0.000000,0.074577,11112245.519430,0.185897,10,0.000000
41,81.343653,54.331205,1938.000000,0.000000,0.027557,42802257.657666,0.454885,11,0.000000
42,79.759499,58.168618,2237.000000,0.000000,0.023572,49062027.650545,0.525065,13,0.000000
43,88.949757,58.573739,1851.000000,0.000000,0.025926,49747802.672698,0.434464,15,0.000000
44,69.002112,53.092784,1894.000000,0.000000,0.024479,40873233.831842,0.444557,16,0.000000
45,72.542144,43.351502,1483.000000,0.000000,0.038600,27250614.755041,0.348088,15,0.000000
46,196.346362,205.332920,6831.000000,0.000000,0.004657,611343316.549985,1.603362,16,0.000000
47,60.160494,32.276812,567.000000,0.000000,0.057747,15105992.466305,0.133085,17,0.000000
48,130.613531,131.326119,6016.000000,0.000000,0.007573,250074969.356690,1.412067,17,0.000000
49,516.319061,435.323132,6773.000000,0.000000,0.002725,2747840325.835493,1.589749,14,0.000000
50,483.297890,415.736728,7439.000000,0.000000,0.002796,2506136891.546517,1.746071,10,0.000000
51,471.740639,409.114938,6890.000000,0.000000,0.002818,2426937970.400183,1.617211,15,0.000000
52,446.733137,390.895953,6775.000000,0.000000,0.002924,2215594866.702187,1.590218,12,0.000000
53,419.090586,391.886164,7308.000000,0.000000,0.002729,2226834103.238678,1.715323,13,0.000000
54,387.494325,375.092391,7137.000000,0.000000,0.002754,2040067372.186150,1.675186,14,0.000000
55,396.900143,373.661011,6970.000000,0.000000,0.002843,2024526993.722801,1.635988,15,0.000000
56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16,0.000000
57,310.084807,302.370869,5825.000000,0.000000,0.003392,1325708061.378268,1.367235,17,0.000000
