#x,y,mean,dev,hits_per_channel,hits_per_packet,photo_e,gain_pmt,norm_mean
0.500000,0.500000,1592.313222,37.222168,2685.000000,92136.000000,1.149278,20089602.488536,0.000000
0.500000,1.500000,42.029709,29.553606,1683.000000,16099.000000,0.048121,12664526.714843,0.000000
0.500000,2.500000,47.050682,32.613395,1539.000000,5402.000000,0.044236,15422686.600625,0.000000
0.500000,3.500000,46.124073,31.001155,1483.000000,2122.000000,0.047992,13935538.080716,0.000000
0.500000,4.500000,44.921523,30.766977,1287.000000,876.000000,0.047455,13725799.976938,0.000000
0.500000,5.500000,44.447368,27.626003,1368.000000,353.000000,0.058238,11066342.874731,0.000000
0.500000,6.500000,48.283465,27.562355,1016.000000,173.000000,0.063557,11015409.696819,0.000000
0.500000,7.500000,48.414234,30.680689,1096.000000,85.000000,0.051433,13648917.974786,0.000000
0.500000,8.500000,48.564093,39.465985,2707.000000,50.000000,0.031180,22584677.367124,0.000000

1.500000,0.500000,48.564093,39.465985,2707.000000,50.000000,0.031180,22584677.367124,0.000000
1.500000,1.500000,48.802163,38.032118,2866.000000,26.000000,0.033739,20973409.276176,0.000000
1.500000,2.500000,49.189225,40.011049,3044.000000,15.000000,0.030726,23212818.526698,0.000000
1.500000,3.500000,46.427673,33.217760,2385.000000,15.000000,0.042076,15999584.367707,0.000000
1.500000,4.500000,51.799063,38.389253,1921.000000,8.000000,0.035148,21369153.750934,0.000000
1.500000,5.500000,53.036492,34.890160,1562.000000,7.000000,0.043568,17651187.157253,0.000000
1.500000,6.500000,48.761433,32.285695,1312.000000,6.000000,0.046780,15114308.508642,0.000000
1.500000,7.500000,52.723060,29.588081,928.000000,0.000000,0.060224,12694091.039197,0.000000
1.500000,8.500000,52.859256,40.443891,2501.000000,3.000000,0.032316,23717770.349517,0.000000

2.500000,0.500000,52.859256,40.443891,2501.000000,3.000000,0.032316,23717770.349517,0.000000
2.500000,1.500000,51.778576,43.391528,2922.000000,3.000000,0.027500,27300957.978687,0.000000
2.500000,2.500000,57.299358,41.107410,2335.000000,4.000000,0.033909,24502377.884808,0.000000
2.500000,3.500000,54.200494,40.859654,1621.000000,2.000000,0.032465,24207914.049522,0.000000
2.500000,4.500000,57.442505,39.825596,1661.000000,1.000000,0.036217,22998132.756248,0.000000
2.500000,5.500000,54.568182,37.900603,1540.000000,2.000000,0.037988,20828608.242326,0.000000
2.500000,6.500000,52.623529,32.011478,1020.000000,4.000000,0.051353,14858653.737024,0.000000
2.500000,7.500000,54.216966,28.529203,613.000000,0.000000,0.066613,11801773.379390,0.000000
2.500000,8.500000,55.653712,44.651139,2290.000000,0.000000,0.027914,28909000.744551,0.000000

3.500000,0.500000,55.653712,44.651139,2290.000000,0.000000,0.027914,28909000.744551,0.000000
3.500000,1.500000,60.587961,53.926307,2575.000000,0.000000,0.020835,42166674.752832,0.000000
3.500000,2.500000,58.111612,46.419293,1998.000000,0.000000,0.026969,31243886.688616,0.000000
3.500000,3.500000,55.850661,37.362370,1741.000000,1.000000,0.040009,20241226.875494,0.000000
3.500000,4.500000,67.495700,49.639905,1279.000000,0.000000,0.027391,35729742.792851,0.000000
3.500000,5.500000,64.056397,61.054574,1188.000000,0.000000,0.017184,54051083.930991,0.000000
3.500000,6.500000,59.878973,42.766538,818.000000,1.000000,0.032739,26520163.527986,0.000000
3.500000,7.500000,59.927126,29.344988,494.000000,0.000000,0.069591,12486360.241932,0.000000
3.500000,8.500000,62.286303,42.572110,1942.000000,1.000000,0.034367,26279576.121000,0.000000

4.500000,0.500000,62.286303,42.572110,1942.000000,1.000000,0.034367,26279576.121000,0.000000
4.500000,1.500000,69.914661,51.104704,1828.000000,0.000000,0.026770,37869515.843983,0.000000
4.500000,2.500000,66.508010,49.663631,1935.000000,0.000000,0.026965,35763906.240143,0.000000
4.500000,3.500000,60.606135,40.638230,1630.000000,0.000000,0.036698,23946253.073883,0.000000
4.500000,4.500000,62.475800,39.588760,1219.000000,0.000000,0.039863,22725413.883002,0.000000
4.500000,5.500000,67.883993,44.373598,1112.000000,0.000000,0.034476,28550735.169553,0.000000
4.500000,6.500000,64.080446,32.965399,808.000000,0.000000,0.058967,15757404.307023,0.000000
4.500000,7.500000,58.725738,31.742404,711.000000,0.000000,0.058284,14609912.834482,0.000000
4.500000,8.500000,81.750308,53.380990,1622.000000,0.000000,0.028689,41318186.920632,0.000000

5.500000,0.500000,81.750308,53.380990,1622.000000,0.000000,0.028689,41318186.920632,0.000000
5.500000,1.500000,81.093161,58.605344,1857.000000,0.000000,0.023611,49801502.318579,0.000000
5.500000,2.500000,88.082307,67.281990,1543.000000,0.000000,0.019458,65639559.903631,0.000000
5.500000,3.500000,71.597303,48.851251,1557.000000,0.000000,0.030002,34603449.181582,0.000000
5.500000,4.500000,73.232964,48.116683,1262.000000,0.000000,0.031631,33570619.553397,0.000000
5.500000,5.500000,203.351285,210.403378,5682.000000,0.000000,0.004593,641908933.670628,0.000000
5.500000,6.500000,60.659708,32.272507,479.000000,0.000000,0.058242,15101962.879346,0.000000
5.500000,7.500000,128.772030,127.799893,4891.000000,0.000000,0.007884,236825783.847725,0.000000
5.500000,8.500000,513.683214,434.187885,5439.000000,0.000000,0.002725,2733527238.660162,0.000000

6.500000,0.500000,513.683214,434.187885,5439.000000,0.000000,0.002725,2733527238.660162,0.000000
6.500000,1.500000,474.410294,415.891600,6120.000000,0.000000,0.002743,2508004428.741230,0.000000
6.500000,2.500000,465.237651,404.007477,5790.000000,0.000000,0.002850,2366719598.512057,0.000000
6.500000,3.500000,446.280653,396.499814,5701.000000,0.000000,0.002839,2279575482.698053,0.000000
6.500000,4.500000,413.986352,384.104571,6228.000000,0.000000,0.002806,2139276660.674178,0.000000
6.500000,5.500000,387.270482,365.660368,5871.000000,0.000000,0.002896,1938758819.090574,0.000000
6.500000,6.500000,395.451613,373.819158,5797.000000,0.000000,0.002830,2026241059.914192,0.000000
6.500000,7.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.500000,8.500000,311.315993,314.436727,4921.000000,0.000000,0.003149,1433621605.091434,0.000000

7.500000,0.500000,311.315993,314.436727,4921.000000,0.000000,0.003149,1433621605.091434,0.000000
7.500000,1.500000,133.286216,147.598228,4556.000000,0.000000,0.006118,315885933.324906,0.000000
7.500000,2.500000,129.692629,124.395856,3826.000000,0.000000,0.008381,224377769.659214,0.000000
7.500000,3.500000,125.357065,124.285574,3680.000000,0.000000,0.008115,223980108.379460,0.000000
7.500000,4.500000,130.405984,140.547448,4345.000000,0.000000,0.006602,286426985.901973,0.000000
7.500000,5.500000,117.027893,121.420597,4087.000000,0.000000,0.007938,213772938.804096,0.000000
7.500000,6.500000,122.313408,118.626321,3580.000000,0.000000,0.008692,204046958.147530,0.000000
7.500000,7.500000,110.092855,108.245035,3737.000000,0.000000,0.009396,169896320.657988,0.000000
7.500000,8.500000,0,0,0,0,0,0,0

8.500000,0.500000,0,0,0,0,0,0,0
8.500000,1.500000,0,0,0,0,0,0,0
8.500000,2.500000,0,0,0,0,0,0,0
8.500000,3.500000,0,0,0,0,0,0,0
8.500000,4.500000,0,0,0,0,0,0,0
8.500000,5.500000,0,0,0,0,0,0,0
8.500000,6.500000,0,0,0,0,0,0,0
8.500000,7.500000,0,0,0,0,0,0,0
8.500000,8.500000,0,0,0,0,0,0,0

